Date,Date,Open,High,Low,Close,Volume,Volume (Currency),Weighted Price
2017-08-14,2017-08-14,4084.0,4423.0,3970.0,4355.662,9768.30274994,41156375.0084,4213.25751893
2017-08-15,2017-08-15,4350.021,4484.29,3821.0,4172.2,12347.2083171,51230382.2963,4149.14699585
2017-08-16,2017-08-16,4170.8,4399.0,3950.0,4388.0,7600.44702534,31826109.3032,4187.39966177
2017-08-17,2017-08-17,4381.01,4479.0,4200.0,4291.0,7641.76969396,33215013.3472,4346.50803118
2017-08-18,2017-08-18,4291.0,4354.996,3980.0,4141.0,9739.86573903,40865531.1004,4195.69757894
2017-08-19,2017-08-19,4130.0,4211.683,4002.636,4179.733,5163.2532409,21279685.6805,4121.37167937
2017-08-20,2017-08-20,4184.937,4198.0,4066.0,4078.244,4318.74607052,17768435.825,4114.2580589
2017-08-21,2017-08-21,4076.001,4116.969,3996.0,4005.704,5070.67114359,20508373.1503,4044.50862017
2017-08-22,2017-08-22,4007.398,4169.994,3620.0,4104.9,10243.5245657,40150470.0735,3919.59523464
2017-08-23,2017-08-23,4104.9,4279.99,4081.4,4151.0,5552.17923783,23200143.287,4178.56526117
2017-08-24,2017-08-24,4150.999,4380.0,4145.0,4334.682,4475.34873171,18952597.6043,4234.88732174
2017-08-25,2017-08-25,4334.999,4465.0,4313.99,4390.989,4496.68320251,19725736.6926,4386.73035307
2017-08-26,2017-08-26,4391.5,4392.1,4271.1,4351.749,2665.7511449,11541704.0291,4329.6254608
2017-08-27,2017-08-27,4360.4,4409.999,4326.0,4338.46,2241.11183796,9754880.46517,4352.69686231
2017-08-28,2017-08-28,4338.458,4399.0,4188.128,4387.828,4706.67506225,20222848.4976,4296.63153503
2017-08-29,2017-08-29,4387.699,4665.446,4346.1,4590.169,5540.05150058,25044673.1685,4520.65710326
2017-08-30,2017-08-30,4590.168,4641.999,4490.0,4579.75,4005.98910457,18331754.7596,4576.08702397
2017-08-31,2017-08-31,4581.12,4760.0,4576.83,4737.27,4116.62201611,19264637.1677,4679.7197052
2017-09-01,2017-09-01,4737.02,4919.95,4702.11,4919.9,4476.53958185,21552804.018,4814.6126319
2017-09-02,2017-09-02,4919.9,4965.0,4528.0,4630.4,7544.28673124,35527677.7663,4709.21626284
2017-09-03,2017-09-03,4630.45,4745.0,4463.846,4645.0,5063.75523135,23353471.0181,4611.88780879
2017-09-04,2017-09-04,4645.0,4660.0,4156.35,4344.11,9061.14572853,39731532.1418,4384.82431826
2017-09-05,2017-09-05,4344.11,4543.2,4140.5,4464.03,6853.20484346,29755278.3081,4341.80489097
2017-09-06,2017-09-06,4457.02,4699.9,4450.0,4641.6,4857.90857028,22415126.6275,4614.15160521
2017-09-07,2017-09-07,4651.1,4730.0,4550.0,4660.0,3747.28220704,17386137.1429,4639.66581173
2017-09-08,2017-09-08,4659.8,4705.1,4139.1,4385.0,8247.46699472,36547942.5705,4431.41422619
2017-09-09,2017-09-09,4385.1,4445.0,4210.1,4342.3,3544.92106629,15381259.8653,4338.95694084
2017-09-10,2017-09-10,4354.7,4386.8,4114.0,4287.1,4165.947233,17678175.6741,4243.49486093
2017-09-11,2017-09-11,4287.3,4397.4,4151.5,4226.2,4285.28478926,18198755.6797,4246.80192207
2017-09-12,2017-09-12,4224.7,4399.0,4115.1,4173.6,5586.0379546,23732180.7867,4248.48183625
2017-09-13,2017-09-13,4176.6,4183.1,3753.1,3882.2,11043.2129811,43307288.6969,3921.62034464
2017-09-14,2017-09-14,3880.7,3947.9,3215.0,3254.2,16615.4942672,58524616.0518,3522.2916099
2017-09-15,2017-09-15,3254.4,3849.0,2995.5,3739.6,21846.7669551,74354277.1384,3403.44533776
2017-09-16,2017-09-16,3739.7,3940.0,3611.0,3716.4,8378.22227064,31595479.1251,3771.14357968
2017-09-17,2017-09-17,3716.4,3821.8,3525.5,3719.0,4515.48314899,16612450.1329,3678.99726003
2017-09-18,2017-09-18,3718.8,4135.0,3710.0,4091.5,7398.92828545,29481593.3437,3984.57617189
2017-09-19,2017-09-19,4093.7,4113.0,3863.0,3911.0,7331.02515285,29086601.8013,3967.6036018
2017-09-20,2017-09-20,3912.3,4059.0,3821.4,3863.1,4828.39586068,19032077.1199,3941.69775409
2017-09-21,2017-09-21,3863.1,3916.9,3578.0,3623.9,7093.67811307,26539200.7603,3741.24683096
